nohup: ignoring input
/opt/conda/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/opt/conda/lib/python3.10/site-packages/timm/models/registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
load data...
Start train...
/opt/conda/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:143: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
/opt/conda/lib/python3.10/site-packages/torch/nn/functional.py:3809: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2024-11-25 21:55:58.501860 Epoch [001/180], Step [0001/0750], Total_loss: 2.7828 Loss1: 1.3287 Loss2: 1.4541
2024-11-25 21:56:35.052616 Epoch [001/180], Step [0020/0750], Total_loss: 2.2418 Loss1: 1.1377 Loss2: 1.1035
2024-11-25 21:57:14.269583 Epoch [001/180], Step [0040/0750], Total_loss: 2.3091 Loss1: 1.1364 Loss2: 1.1705
2024-11-25 21:57:52.764603 Epoch [001/180], Step [0060/0750], Total_loss: 2.2901 Loss1: 1.1255 Loss2: 1.1620
2024-11-25 21:58:31.241829 Epoch [001/180], Step [0080/0750], Total_loss: 2.2159 Loss1: 1.1062 Loss2: 1.1034
2024-11-25 21:59:10.009619 Epoch [001/180], Step [0100/0750], Total_loss: 2.4507 Loss1: 1.1418 Loss2: 1.2986
2024-11-25 21:59:48.491078 Epoch [001/180], Step [0120/0750], Total_loss: 1.8696 Loss1: 0.9672 Loss2: 0.8936
2024-11-25 22:00:26.808215 Epoch [001/180], Step [0140/0750], Total_loss: 1.8770 Loss1: 0.9745 Loss2: 0.8883
2024-11-25 22:01:05.724523 Epoch [001/180], Step [0160/0750], Total_loss: 1.9302 Loss1: 0.9885 Loss2: 0.9252
2024-11-25 22:01:43.815021 Epoch [001/180], Step [0180/0750], Total_loss: 1.9097 Loss1: 0.9834 Loss2: 0.8981
2024-11-25 22:02:22.450358 Epoch [001/180], Step [0200/0750], Total_loss: 1.9307 Loss1: 0.9719 Loss2: 0.9388
2024-11-25 22:03:00.874409 Epoch [001/180], Step [0220/0750], Total_loss: 2.3104 Loss1: 1.0620 Loss2: 1.2245
2024-11-25 22:03:39.266478 Epoch [001/180], Step [0240/0750], Total_loss: 1.6388 Loss1: 0.8549 Loss2: 0.7601
2024-11-25 22:04:17.271403 Epoch [001/180], Step [0260/0750], Total_loss: 1.9520 Loss1: 0.9673 Loss2: 0.9529
2024-11-25 22:04:55.497178 Epoch [001/180], Step [0280/0750], Total_loss: 1.9771 Loss1: 0.9801 Loss2: 0.9610
2024-11-25 22:05:33.643695 Epoch [001/180], Step [0300/0750], Total_loss: 1.8744 Loss1: 0.9436 Loss2: 0.9006
2024-11-25 22:06:11.777544 Epoch [001/180], Step [0320/0750], Total_loss: 2.0781 Loss1: 1.0144 Loss2: 1.0531
2024-11-25 22:06:50.144202 Epoch [001/180], Step [0340/0750], Total_loss: 1.8431 Loss1: 0.9279 Loss2: 0.8796
2024-11-25 22:07:28.475242 Epoch [001/180], Step [0360/0750], Total_loss: 2.1529 Loss1: 1.0202 Loss2: 1.0726
2024-11-25 22:08:07.017474 Epoch [001/180], Step [0380/0750], Total_loss: 2.0605 Loss1: 0.9967 Loss2: 1.0406
2024-11-25 22:08:45.578322 Epoch [001/180], Step [0400/0750], Total_loss: 2.0141 Loss1: 0.9882 Loss2: 0.9806
